kc.	kc. Kocī dialect of West Pahāṛī	Mahasu Pahari	maha1287	maha1287	77.53	31.01
kcch.	kcch. Kacchī dialect of Sindhī	Kachchi	kach1277	kach1277	69.00	23.83
kch.	kch. Kachur-i Sala dialect of Pashai [???]	Northwest Pashayi	nort2665	nort2665	69.99	35.17
kgr.	kgr. or kng. Kāṅgrā sub-dialect of Ḍogrī dialect of Panjābī	Kangri	kang1280	kang1280	76.37	31.91
khas.	khas. Khasa dialect of Kumaunī	Kumaoni	kuma1273	kuma1273	80.02	29.56
khaś.	khaś. Khaśālī dialect of West Pahāṛī	Bhadrawahi	bhad1241	bhad1241	75.87	33.29
khet.	khet. Khetrānī dialect of Lahndā	Khetrani	khet1238	khet1238	70.28	30.48
Kho.	Kho. Khowār (Dard.)	Khowar	khow1242	khow1242	72.00	36.00
kiś.	kiś. See kash.	Kashmiri	kish1245	kash1277	74.33	34.17
kiũth.	kiũth. Kiũthalī dialect of West Pahāṛī	Mahasu Pahari	maha1287	maha1287	77.53	31.01
kṇḍ.	kṇḍ. Kaṇḍak dialect of Pashai	Northeast Pashayi	kand1293	nort2666	70.43	34.66
kng.	kng. See kgr.	Kangri	kang1280	kang1280	76.37	31.91
Ko.	Ko. Koṅkaṇī	Konkani	konk1267	konk1267	73.92	19.24
Koh.	Koh. Kohistānī (Dard.)	Indus Kohistani	indu1241	indu1241	73.02	35.34
koh.	koh. Kohistānī dialect of Shina	Kohistani Shina	kohi1248	kohi1248	73.32	35.17
kōl.	kōl. Kōlā dialect of Shina	Kohistani Shina	kohi1248	kohi1248	73.32	35.17
Ku.	Ku. Kumaunī	Kumaoni	kuma1273	kuma1273	80.02	29.56
kuṛ.	kuṛ. Kuṛaṅgali dialect of Pashai	Northeast Pashayi	kura1247	nort2666	70.43	34.66
kurd.	kurd. Kurdari dialect of Pashai	Northeast Pashayi	kurd1258	nort2666	70.43	34.66
ky.	ky. Kanyawālī dialect of Maiyã̄	Indus Kohistani	indu1241_b	indu1241	73.02	35.34
L.	L. Lahndā	Western Panjabi	west2386	west2386	75.35	30.09
l.rudh.	l.rudh. Low Rudhārī sub-dialect of Khaśālī dialect of West Pahāṛī	Bhadrawahi	bhad1241	bhad1241	75.87	33.29
la.	la. Lāṛī dialect of Sindhī	Sindhi	sind1272	sind1272	69.00	26.00
lagh.	lagh. Laghmani dialect of Pashai	Southeast Pashayi	lagh1243	sout2672	70.30	34.43
lakh.	lakh. Lakhīmpurī dialect of Awadhī	Awadhi	gang1265	awad1243	82.47	27.59
lauṛ.	lauṛ. Lauṛowānī dialect of Pashai	Northwest Pashayi	laur1248	nort2665	69.99	35.17
ludh.	ludh. Ludhiānī dialect of Panjābī	Eastern Panjabi	panj1256_b	panj1256	75.67	30.04
M.	M. Marāṭhī	Marathi	mara1378	mara1378	76.67	17.93
mag.	mag. Magahī dialect of Bihārī	Magahi	maga1260	maga1260	85.33	25.09
Mai.	Mai. Maiyã̄ (Dard.)	Indus Kohistani	indu1241	indu1241	73.02	35.34
Māl.	Māl. or Malw. Mālwāī	Malvi	malv1243	malv1243	75.56	23.49
mald.	mald. See Md.	Dhivehi	dhiv1236	dhiv1236	73.54	1.93
Malw.	Malw. See Māl.	Malvi	malv1243	malv1243	75.56	23.49
marm.	marm. Marmatī sub-dialect of Khaśālī dialect of West Pahāṛī	Bhadrawahi	bhad1241_d	bhad1241	75.87	33.29
Marw.	Marw. Mārwāṛī	Marwari (India)	marw1260	marw1260	75.07	27.00
Md.	Md. or mald. Maldivian dialect of Sinhalese	Dhivehi	dhiv1236	dhiv1236	73.54	1.93
mid.rudh.	mid.rudh. Middle Rudhārī sub-dialect of Khaśālī dialect of West Pahāṛī	Bhadrawahi	bhad1241_e	bhad1241	75.87	33.29
Mth.	Mth. Maithilī	Maithili	mait1250	mait1250	86.22	26.38
mult.	mult. Multānī dialect of Lahndā	Western Panjabi	mult1243	west2386	75.35	30.09
N.	N. Nepāli	Nepali	nepa1254	nepa1254	85.00	28.00
nij.	nij. Nijelami (Neẓəlāˊm) dialect of Pashai [???]	Northwest Pashayi	naji1238	nort2665	69.99	35.17
Niṅg.	Niṅg. Niṅgalāmī (Dard.)	Grangali	gran1245	gran1245	70.73	34.65
nir.	nir. Nirlāmī dialect of Pashai [???]	Northwest Pashayi	nort2665_b	nort2665	69.99	35.17
norw.	norw. Norwegian dialect of European Gypsy [???]	Kalo Finnish Romani	tavr1235	kalo1256	24.43	60.45
Or.	Or. Oṛiyā	Odia	oriy1255	oriy1255	85.00	21.00
P.	P. Panjābī (Pañjābī)	Eastern Panjabi	panj1256	panj1256	75.67	30.04
pach.	pach. See pch.	Northwest Pashayi	pash1271	nort2665	69.99	35.17
pāḍ.	pāḍ. Pāḍarī sub-dialect of Bhadrawāhī dialect of West Pahāṛī	Bhadrawahi	pada1256	bhad1241	75.87	33.29
pal.	pal. Palestinian dialect of Asiatic Gypsy of the Nawar	Domari	nawa1257	doma1258	35.00	32.00
pales.	pales. Palesī dialect of Shina	Shina	shin1264	shin1264	75.29	34.65
paṅ.	paṅ. Paṅgwāḷī dialect of West Pahāṛī	Pangwali	pang1282	pang1282	76.56	32.98
Paš.	Paš. Pashai (Pašaī — Dard.) [???]	Northeast Pashayi	nort2666	nort2666	70.43	34.66
paṭ.	paṭ. Paṭṭanī dialect of Gujarātī	Gujarati	guja1252_b	guja1252	71.10	22.69
pch.	pch. or pach. Pachaghani dialect of Pashai	Northwest Pashayi	pash1271	nort2665	69.99	35.17
pers.	pers. Persian dialect of Asiatic Gypsy	Lomavren	qina1238	loma1235	45.00	40.00
Phal.	Phal. Phalūṛa (Dard.)	Phalura	phal1254	phal1254	71.84	35.51
pog.	pog. Pǒgulī dialect of Kashmiri	Kashmiri	pogu1238	kash1277	74.33	34.17
pol.	pol. Polish dialect of European Gypsy	Sinte Romani	sint1235	sint1235	16.50	47.50
poṭh.	poṭh. Poṭhwārī dialect of Lahndā	Pahari Potwari	poth1238	paha1251	73.81	33.64
pow.	pow. Pōwādhī dialect of Panjābī	Eastern Panjabi	powa1244	panj1256	75.67	30.04
pun.	pun. Punchī dialect of Lahndā	Pahari Potwari	punc1239	paha1251	73.81	33.64
punl.	punl. Puniali dialect of Shina	Shina	shin1264	shin1264	75.29	34.65
rām.	rām. Rāmbanī dialect of Kashmiri in Jammu	Kashmiri	ramb1240	kash1277	74.33	34.17
Rj.	Rj. Rājasthānī [???]	Dhundari	dhun1238	dhun1238	76.20	26.47
roḍ.	roḍ. Roḍiyā dialect of Sinhalese	Sinhala	rodi1239	sinh1246	81.00	8.00
roh.	roh. Rohruī dialect of West Pahāṛī	Mahasu Pahari	maha1287	maha1287	77.53	31.01
rudh.	rudh. Rudhārī sub-dialect of Khaśālī dialect of West Pahāṛī	Bhadrawahi	bhad1241_f	bhad1241	75.87	33.29
rum.	rum. Rumanian dialect of European Gypsy	Vlax Romani	kald1238	vlax1238	14.85	46.82
rumb.	rumb. Rumbūr dialect of Kalasha	Kalasha	sout2669	kala1372	71.67	35.64
rus.	rus. Russian dialect of European Gypsy [???]	Sinte Romani	nort2655	sint1235	16.50	47.50
S.	S. Sindhī	Sindhi	sind1272	sind1272	69.00	26.00
SEeur.	SEeur. South-east European dialects of Gypsy	Balkan Romani	balk1252	balk1252	21.17	42.67
śeu.	śeu. Śeuṭī sub-dialect of Khaśālī dialect of West Pahāṛī	Bhadrawahi	bhad1241_g	bhad1241	75.87	33.29
Sh.	Sh. Shina (Ṣiṇā — Dard.)	Shina	shin1264	shin1264	75.29	34.65
sham.	sham. Shamakaṭ dialect of Pashai	Northwest Pashayi	sham1274	nort2665	69.99	35.17
she.	she. Shewa dialect of Pashai [???]	Northwest Pashayi	nort2665_c	nort2665	69.99	35.17
Shum.	Shum. Shumashti (Šumāštī — Dard.)	Shumashti	shum1235	shum1235	70.57	34.48
shut.	shut. Shutuli dialect of Pashai	Northwest Pashayi	shut1242	nort2665	69.99	35.17
Si.	Si. Sinhalese	Sinhala	sinh1246	sinh1246	81.00	8.00
Sik.	Sik. Sikalgārī (Mixed Gypsy Language: LSI xi 167) [???]	Gujarati	guja1252	guja1252	71.10	22.69
sir.	sir. Sirājī dialect of West Pahāṛī	Kullu Pahari	kull1236	kull1236	77.38	31.83
sirm.	sirm. Sirmaurī dialect of West Pahāṛī	Sirmauri	sirm1239	sirm1239	77.17	31.10
snj.	snj. Sanjan dialect of Pashai	Northwest Pashayi	nort2665	nort2665	69.99	35.17
sod.	sod. Sǒdōcī dialect of West Pahāṛī	Mahasu Pahari	maha1287	maha1287	77.53	31.01
sp.	sp. Spanish dialect of European Gypsy [???]	Vlax Romani	span1238	vlax1238	14.85	46.82
srk.	srk. Sirāikī dialect of Sindhī	Saraiki	sera1259	sera1259	71.91	29.55
suk.	suk. Suketī dialect of West Pahāṛī	Mandeali	mand1409	mand1409	77.04	31.54
Sv.	Sv. Savi (Dard.)	Savi	savi1242	savi1242	71.56	35.30
Tir.	Tir. Tirāhī (Dard.)	Tirahi	tira1253	tira1253	69.59	34.18
Tor.	Tor. Tōrwālī (Dard.)	Torwali	torw1241	torw1241	72.53	35.31
urt.	urt. Urtsun dialect of Kalasha	Kalasha	kala1372_b	kala1372	71.67	35.64
uzb.	uzb. Uzbini dialect of Pashai	Northwest Pashayi	uzbi1238	nort2665	69.99	35.17
weg.	weg. Wegali dialect of Pashai	Northeast Pashayi	wega1238	nort2666	70.43	34.66
wel.	wel. Welsh dialect of European Gypsy	Welsh Romani	wels1246	wels1246	-3.79	52.12
Woṭ.	Woṭ. Woṭapūrī (language of Woṭapūr and Kaṭārqalā — Dard.)	Wotapuri-Katarqalai	wota1240	wota1240	70.86	34.70
WPah.	WPah. West Pahāṛī	Mahasu Pahari	maha1287_b	maha1287	77.53	31.01
Wg.	Wg. Waigalī or Wai-alā (Kaf.)	Waigali	waig1243	waig1243	35.04	70.98
Kt.	Kt. Kati or Katei (Kaf.)	Kati	kati1270	kati1270	35.41	70.98
Bashg.	Bashg. Bashgalī (Kaf.)	Kati	kati1270	kati1270	35.41	70.98
Ash.	Ash. Ashkun (Aṣkū̃ — Kaf.)	Ashkun	ashk1246	ashk1246	34.84	70.37
Dm.	Dm. Dameli (Damε̃ḍīˊ — Kaf.-Dard.)	Dameli	dame1241	dame1241	35.30	71.68
Gmb.	Gmb. Gambīrī (Kaf.)	Tregami	treg1243	treg1243	34.75	70.96
Kmd.	Kmd. or Kamd. Kāmdeshi (Kaf.), Kāmdesh dialect of Kati	Kati	kati1270	kati1270	35.41	70.98
Pr.	Pr. Prasun (Kaf.)	Prasun	pras1239	pras1239	35.17	70.80
Pa.	Pa. Pali	Pali	pali1273	pali1273	24.53	82.25
Pk.	Pk. Prakrit	Prakrit (Maharashtri)	maha1305	maha1305		
